Product,Selling Price,Current stock,SKU,Image _url
Adapter for Asus Laptop 19volt DC,৳ 480.00,0.00 Pieces,7112,
Adapter for LED Monitor with Cable (14V-3 Amp),৳ 500.00,0.00 Pieces,7113,
Adapter for LED Monitor with Cable (19V-3 Amp),৳ 540.00,0.00 Pieces,7114,
Adapter for LG monitor 19volt DC,৳ 450.00,-20.00 Pieces,7115,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911704/download_2_rjlr0p.jpg
"ADAPTER, DX 1012-2AM SMPS, 12V AM",৳ 150.00,1.00 Pieces,7116,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911760/download_3_spyier.jpg
Adata 8GB DDR3 RAM(Desktop),"৳ 2,800.00",0.00 Pieces,7117,
ADD Fee,"৳ 6,750.00",2.00 Pieces,7118,
ADF Feed Pickup Roller SEPARATION PAD for HP M130 / M132 / M134 / M227 / M203 / M206 / M230 / M203d / M203dn / M203dw / M227d / 130 / 132 / 134 / 227,৳ 350.00,3.00 Pieces,7119,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911828/download_4_jz49lb.jpg
ADF Feed Pickup Roller Separation Pad Kit for HP Pro M400 / M401 / M425 / M525 / M521 / M476 / M570 / M521 (CF288-60016),৳ 600.00,15.00 Pieces,7120,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911882/download_5_xwst81.jpg
ADF Hinge Assembly for HP LaserJet Pro 400 MFP M425dn / M425dw / M425 / M401 / M521dn / M521 / M476 / M570 / 425 (ADF-M425),"৳ 1,000.00",10.00 Pieces,13734,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911960/download_6_ojvc1h.jpg
ADF Hinge for Canon D1120 / D1150 / D1170 / D1180 / D1380 / D1320 / D1350 / D1370 / D1520 / D1550 / MF8030 / MF8040 / MF8050 / MF8080 / MF8230 / MF8280 / MF8330 / MF8340 / MF8350 / MF8360 / M,৳ 500.00,6.00 Pieces,7121,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761911994/download_7_c3anb4.jpg
ADF Hinge for Canon IRD1120 / D1150 / D1170 / D1180 / D1320 / D1350 / D1370 / C1225 / 1133 / 1435 / MF419 / C250 / C350 / 5980 / 6680 /MF226 / MF237 / MF232 / MF8280 (Hinge-IR1133),"৳ 1,000.00",20.00 Pieces,7122,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912036/download_8_v0ce8d.jpg
ADF Hinge for HP M1130 / M1213 / M1213 / M1213 / M1214 / M1216 / M1213 / M1214 / M1216 / M1217 / M1218 / M125 / M1213 (Hinge-M1130),"৳ 1,000.00",10.00 Pieces,13820,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912085/download_9_bbvxs5.jpg
ADF Pick UP Roller Compatible For CANON 2530 / 2535 / 2545 / 3225 / 3230 / 3235 / 3245 / 4025 / 4035 / 4045 / 4051 / 4225 / 4245 / 4235 (FB6-3405-000) (FC0-5080-000) (FC6-6661-000),"৳ 1,500.00",9.00 Pieces,7123,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912146/download_10_fubj0d.jpg
ADF Pick Up Roller for Samsung SCX4521F / SCX-4321 / SCX4521 / SCX4725 / SCX4824 / SCX4828 Xerox PE220 / 3200 (JC97-02203A) (New Vertion),"৳ 1,800.00",1.00 Pieces,7124,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912187/download_11_oelpbk.jpg
ADF Pick Up Roller for Samsung SCX4521F / SCX-4321 / SCX4521 / SCX4725 / SCX4824 / SCX4828 Xerox PE220 / 3200 (JC97-02203A) (Old Vertion),"৳ 1,800.00",1.00 Pieces,7125,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912229/download_12_f5hjxx.jpg
ADF Pickup / Separation Kit HP Wide Pro 577dw / 377 / 477 (RM2-25116),৳ 800.00,5.00 Pieces,7126,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912268/download_13_oouxko.jpg
ADF Pickup ASSY for Epson ET-5150 / L6460 / L6468 / ET-M3140 / M3140 / L6178 / L6198 / 6176 / 6167 / 6170 / 6190  (ADF-3140),"৳ 2,500.00",2.00 Pieces,7127,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912315/download_14_hiz0r1.jpg
ADF Pickup Roller & Separation Pad for Canon MF624 / MF628 / MF726 / MF729 / MF8050 / MF8080 / MF8050 / MF8080 / MF8280 / MF850 / MF8380 (6290889),৳ 950.00,3.00 Pieces,7128,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912369/download_15_pogknu.jpg
ADF Pickup Roller & Separation Pad for Canon MF624 / MF628 / MF726 / MF729 / MF8050 / MF8080 / MF8050 / MF8080 / MF8280 / MF850 / MF8380 Full Set,"৳ 2,500.00",1.00 Pieces,7129,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761912369/download_15_pogknu.jpg
ADF Pickup Roller Assembly for HP Pro M201 / M202 / MFP M225 / M226 / CM1415 / M1536 (CF144-60142),"৳ 1,500.00",2.00 Pieces,7130,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913081/491832178_1426453088737397_5915109390641936892_n_bvpopv.jpg
ADF Pickup Roller for HP M4555 / 4555 / CM4540 / 4540 (CE248-67901),"৳ 2,000.00",1.00 Pieces,7131,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913152/download_16_kvldzn.jpg
ADF Pickup Roller for HP M631 / M632 / M633 / M681 / M682 / 8500fn2 Roller Kit (5851-7202),"৳ 6,500.00",1.00 Pieces,7132,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913192/download_17_roorfd.jpg
ADF Pickup Roller Kit for Epson L5198 / L5290 / L5298 / L6490 / L6498 / M3178 / M3148 / WF-3825 / L6178 / L6198 / L6176 / L6167 / L6170 / L6190(2472376),"৳ 1,800.00",2.00 Pieces,7133,https://res.cloudinary.com/dxxwnkrus/image/upload/v1761913230/download_18_zcicmr.jpg
